transaction_id,transaction_date,vendor_name,category,amount,amount_clean,transaction_status
62,2020-01-12,Notion,Software,Pending,NULL,Pending
63,2020-01-13,Uber,Travel,187.73,187.73,Completed
64,2020-01-13,Uber,Travel,Declined,NULL,Declined
65,2020-01-13,WeWork,Rent,3200.00,3200.00,Completed
66,2020-01-14,Slack,Software,87.00,87.00,Completed
67,2020-01-14,Asana,Software,35,35.00,Completed
68,2020-01-14,Stripe,Software,59.00,59.00,Completed
69,2020-01-14,Stripe,Software,59,59.00,Completed
70,2020-01-14,Expensify,Software,50.00,50.00,Completed
71,2020-01-14,Amazon,"Office Supplies",970.74,970.74,Completed
72,2020-01-15,HubSpot,Marketing,570,570.00,Completed
73,2020-01-15,WeWork,Rent,3200.00,3200.00,Completed
74,2020-01-15,Expensify,Software,50.00,50.00,Completed
75,2020-01-16,HubSpot,Marketing,639.50,639.50,Completed
76,2020-01-16,Stripe,Software,N/A,NULL,N/A
77,2020-01-16,Zoom,Software,149,149.00,Completed
78,2020-01-16,"Delta Airlines",Travel,1812.5,1812.50,Completed
79,2020-01-16,Stripe,Software,59.00,59.00,Completed
80,2020-01-16,QuickBooks,Software,105.06,105.06,Completed
81,2020-01-16,Salesforce,Software,800,800.00,Completed
82,2020-01-16,"Google Ads",Marketing,2801.3,2801.30,Completed
83,2020-01-17,Amazon,"Office Supplies",312.56,312.56,Completed
84,2020-01-17,HubSpot,Marketing,428.82,428.82,Completed
85,2020-01-17,"LinkedIn Ads",Marketing,691.17,691.17,Completed
86,2020-01-17,FedEx,Shipping,94.62,94.62,Completed
87,2020-01-17,FedEx,Shipping,242.8,242.80,Completed
88,2020-01-17,Asana,Software,82.46,82.46,Completed
89,2020-01-17,"Google Ads",Marketing,3435.8,3435.80,Completed
90,2020-01-18,"Google Ads",Marketing,2788.7,2788.70,Completed
91,2020-01-18,DHL,Shipping,219,219.00,Completed
92,2020-01-18,"Google Ads",Marketing,TBD,NULL,TBD
93,2020-01-19,AWS,Software,1267.7,1267.70,Completed
94,2020-01-19,FedEx,Shipping,119.35,119.35,Completed
95,2020-01-19,Mailchimp,Marketing,299,299.00,Completed
96,2020-01-20,WeWork,Rent,3200.0,3200.00,Completed
97,2020-01-20,DHL,Shipping,245.76,245.76,Completed
98,2020-01-20,Slack,Software,87,87.00,Completed
99,2020-01-20,Uber,Travel,59,59.00,Completed
100,2020-01-20,"LinkedIn Ads",Marketing,1409.3,1409.30,Completed
101,2020-01-21,"Delta Airlines",Travel,860.39,860.39,Completed
102,2020-01-21,Dropbox,Software,24.26,24.26,Completed
103,2020-01-21,FedEx,Shipping,152,152.00,Completed
104,2020-01-21,Asana,Software,51,51.00,Completed
105,2020-01-21,Dropbox,Software,18.1,18.10,Completed
106,2020-01-21,"American Airlines",Travel,1027.8,1027.80,Completed
107,2020-01-21,DHL,Shipping,236.58,236.58,Completed
108,2020-01-22,Notion,Software,16.00,16.00,Completed
109,2020-01-22,Microsoft,Software,250,250.00,Completed
110,2020-01-22,Expensify,Software,50.0,50.00,Completed
111,2020-01-22,Marriott,Travel,N/A,NULL,N/A
112,2020-01-22,DHL,Shipping,167.41,167.41,Completed
113,2020-01-22,DHL,Shipping,94.84,94.84,Completed
114,2020-01-22,Amazon,"Office Supplies",187.81,187.81,Completed
115,2020-01-23,"LinkedIn Ads",Marketing,1829.2,1829.20,Completed
116,2020-01-23,AWS,Software,2118.33,2118.33,Completed
117,2020-01-23,"Office Depot","Office Supplies",434.4,434.40,Completed
118,2020-01-23,Mailchimp,Marketing,299.0,299.00,Completed
119,2020-01-23,Uber,Travel,180.50,180.50,Completed
120,2020-01-23,Expensify,Software,50,50.00,Completed
121,2020-01-24,Asana,Software,87.0,87.00,Completed
122,2020-01-24,HubSpot,Marketing,756.7,756.70,Completed
123,2020-01-24,Expensify,Software,50,50.00,Completed
124,2020-01-24,"Office Depot","Office Supplies",395.51,395.51,Completed
125,2020-01-24,Stripe,Software,59.00,59.00,Completed
126,2020-01-24,Stripe,Software,59.00,59.00,Completed
127,2020-01-25,Zoom,Software,149.00,149.00,Completed
128,2020-01-25,WeWork,Rent,3200.0,3200.00,Completed
129,2020-01-25,"LinkedIn Ads",Marketing,593.4,593.40,Completed
130,2020-01-25,"Office Depot","Office Supplies",304.5,304.50,Completed
131,2020-01-26,Amazon,"Office Supplies",1891.2,1891.20,Completed
132,2020-01-26,"LinkedIn Ads",Marketing,1307.33,1307.33,Completed
133,2020-01-26,AWS,Software,1253.22,1253.22,Completed
134,2020-01-26,Staples,"Office Supplies",167.7,167.70,Completed
135,2020-01-26,Marriott,Travel,224.27,224.27,Completed
136,2020-01-26,Asana,Software,67.39,67.39,Completed
137,2020-01-27,QuickBooks,Software,105.72,105.72,Completed
138,2020-01-27,Uber,Travel,100.2,100.20,Completed
139,2020-01-27,Salesforce,Software,800,800.00,Completed
140,2020-01-28,Stripe,Software,59.00,59.00,Completed
141,2020-01-28,FedEx,Shipping,Waived,NULL,Waived
142,2020-01-28,Uber,Travel,233.64,233.64,Completed
143,2020-01-28,Amazon,"Office Supplies",1280.5,1280.50,Completed
144,2020-01-28,DHL,Shipping,50.7,50.70,Completed
145,2020-01-28,"American Airlines",Travel,917.48,917.48,Completed
146,2020-01-29,Microsoft,Software,Pending,NULL,Pending
147,2020-01-29,Notion,Software,16.0,16.00,Completed
148,2020-01-29,"American Airlines",Travel,755.32,755.32,Completed
149,2020-01-29,Slack,Software,87.00,87.00,Completed
150,2020-01-30,Uber,Travel,123,123.00,Completed
151,2020-01-30,WeWork,Rent,3200.0,3200.00,Completed
152,2020-01-30,AWS,Software,706.6,706.60,Completed
153,2020-01-30,"American Airlines",Travel,628,628.00,Completed
154,2020-01-30,Asana,Software,86.6,86.60,Completed
155,2020-01-30,Expensify,Software,50,50.00,Completed
156,2020-01-30,Salesforce,Software,800.00,800.00,Completed
157,2020-01-31,Expensify,Software,50.0,50.00,Completed
158,2020-01-31,Salesforce,Software,800.00,800.00,Completed
159,2020-01-31,AWS,Software,1218,1218.00,Completed
160,2020-01-31,Stripe,Software,59,59.00,Completed
161,2020-01-31,HubSpot,Marketing,408.12,408.12,Completed
162,2020-02-01,Marriott,Travel,332.89,332.89,Completed
163,2020-02-01,"American Airlines",Travel,1533.1,1533.10,Completed
164,2020-02-01,Amazon,"Office Supplies",276.80,276.80,Completed
165,2020-02-01,Microsoft,Software,382,382.00,Completed
166,2020-02-02,Marriott,Travel,397.7,397.70,Completed
167,2020-02-02,Stripe,Software,59.00,59.00,Completed
168,2020-02-02,Salesforce,Software,800.00,800.00,Completed
169,2020-02-02,"Delta Airlines",Travel,776,776.00,Completed
170,2020-02-02,Slack,Software,87,87.00,Completed
171,2020-02-02,"Google Ads",Marketing,1616.12,1616.12,Completed
172,2020-02-03,Uber,Travel,293.06,293.06,Completed
173,2020-02-03,QuickBooks,Software,162.90,162.90,Completed
174,2020-02-03,Notion,Software,16,16.00,Completed
175,2020-02-03,"Google Ads",Marketing,3406.8,3406.80,Completed
176,2020-02-03,Slack,Software,87.00,87.00,Completed
177,2020-02-04,QuickBooks,Software,139,139.00,Completed
178,2020-02-04,WeWork,Rent,TBD,NULL,TBD
179,2020-02-04,"LinkedIn Ads",Marketing,1409.48,1409.48,Completed
180,2020-02-04,"Office Depot","Office Supplies",275.6,275.60,Completed
181,2020-02-04,Microsoft,Software,451,451.00,Completed
182,2020-02-04,Notion,Software,16.00,16.00,Completed
183,2020-02-04,"Office Depot","Office Supplies",127.66,127.66,Completed
184,2020-02-05,Mailchimp,Marketing,"No Charge",NULL,"No Charge"
185,2020-02-05,"LinkedIn Ads",Marketing,1175,1175.00,Completed
186,2020-02-05,Uber,Travel,92.5,92.50,Completed
187,2020-02-05,WeWork,Rent,3200.00,3200.00,Completed
188,2020-02-06,Slack,Software,87,87.00,Completed
189,2020-02-06,Zoom,Software,149,149.00,Completed
190,2020-02-06,Asana,Software,82,82.00,Completed
191,2020-02-06,Expensify,Software,50.0,50.00,Completed
192,2020-02-06,Stripe,Software,59.00,59.00,Completed
193,2020-02-06,Asana,Software,32,32.00,Completed
194,2020-02-07,Stripe,Software,59.00,59.00,Completed
195,2020-02-07,"Office Depot","Office Supplies",345.97,345.97,Completed
196,2020-02-07,"Office Depot","Office Supplies",385.4,385.40,Completed
197,2020-02-07,Stripe,Software,59.0,59.00,Completed
198,2020-02-07,WeWork,Rent,3200,3200.00,Completed
199,2020-02-07,DHL,Shipping,48.5,48.50,Completed
200,2020-02-07,"American Airlines",Travel,1587.3,1587.30,Completed
201,2020-02-08,Uber,Travel,152,152.00,Completed
202,2020-02-08,Slack,Software,87.00,87.00,Completed
203,2020-02-08,DHL,Shipping,220.61,220.61,Completed
204,2020-02-08,"Delta Airlines",Travel,1440.6,1440.60,Completed
205,2020-02-08,QuickBooks,Software,Pending,NULL,Pending
206,2020-02-08,HubSpot,Marketing,504.8,504.80,Completed
207,2020-02-08,Slack,Software,87.00,87.00,Completed
208,2020-02-09,"Google Ads",Marketing,Refunded,NULL,Refunded
209,2020-02-09,WeWork,Rent,3200.00,3200.00,Completed
210,2020-02-09,Expensify,Software,50.00,50.00,Completed
211,2020-02-09,AWS,Software,4676,4676.00,Completed
212,2020-02-09,"LinkedIn Ads",Marketing,1752.09,1752.09,Completed
213,2020-02-09,Expensify,Software,50.00,50.00,Completed
214,2020-02-09,WeWork,Rent,3200.0,3200.00,Completed
215,2020-02-09,Salesforce,Software,800.00,800.00,Completed
216,2020-02-10,Marriott,Travel,284.4,284.40,Completed
217,2020-02-10,Zoom,Software,149,149.00,Completed
218,2020-02-10,HubSpot,Marketing,1010,1010.00,Completed
219,2020-02-10,"Delta Airlines",Travel,2457.7,2457.70,Completed
220,2020-02-10,Mailchimp,Marketing,299,299.00,Completed
221,2020-02-11,AWS,Software,3585.1,3585.10,Completed
222,2020-02-11,DHL,Shipping,203.29,203.29,Completed
223,2020-02-11,AWS,Software,4831,4831.00,Completed
224,2020-02-11,Slack,Software,87.0,87.00,Completed
225,2020-02-11,Amazon,"Office Supplies",1472.64,1472.64,Completed
226,2020-02-11,WeWork,Rent,3200,3200.00,Completed
227,2020-02-11,Asana,Software,78,78.00,Completed
228,2020-02-11,DHL,Shipping,218,218.00,Completed
229,2020-02-12,"American Airlines",Travel,2684.83,2684.83,Completed
230,2020-02-12,Asana,Software,34,34.00,Completed
231,2020-02-12,Mailchimp,Marketing,299.00,299.00,Completed
232,2020-02-12,"Office Depot","Office Supplies",327.9,327.90,Completed
233,2020-02-12,"Google Ads",Marketing,2673.80,2673.80,Completed
234,2020-02-12,Salesforce,Software,800,800.00,Completed
235,2020-02-12,"LinkedIn Ads",Marketing,718.35,718.35,Completed
236,2020-02-12,"Google Ads",Marketing,1272.7,1272.70,Completed
237,2020-02-13,DHL,Shipping,79.19,79.19,Completed
238,2020-02-13,Mailchimp,Marketing,299,299.00,Completed
239,2020-02-13,DHL,Shipping,27,27.00,Completed
240,2020-02-13,DHL,Shipping,Pending,NULL,Pending
241,2020-02-13,Notion,Software,16,16.00,Completed
242,2020-02-13,Expensify,Software,50.0,50.00,Completed
243,2020-02-13,AWS,Software,711,711.00,Completed
244,2020-02-14,Microsoft,Software,497.4,497.40,Completed
245,2020-02-14,Stripe,Software,59.00,59.00,Completed
246,2020-02-14,Asana,Software,82,82.00,Completed
247,2020-02-14,"Office Depot","Office Supplies",405,405.00,Completed
248,2020-02-14,Mailchimp,Marketing,299.00,299.00,Completed
249,2020-02-14,QuickBooks,Software,62.63,62.63,Completed
250,2020-02-14,Microsoft,Software,Pending,NULL,Pending
251,2020-02-15,Zoom,Software,149.0,149.00,Completed
252,2020-02-15,"Google Ads",Marketing,1342,1342.00,Completed
253,2020-02-15,Dropbox,Software,20.02,20.02,Completed
254,2020-02-15,Stripe,Software,59,59.00,Completed
255,2020-02-15,Marriott,Travel,541.7,541.70,Completed
256,2020-02-15,WeWork,Rent,3200.0,3200.00,Completed
257,2020-02-15,HubSpot,Marketing,692.62,692.62,Completed
258,2020-02-15,Stripe,Software,59,59.00,Completed
259,2020-02-16,Staples,"Office Supplies",337.85,337.85,Completed
260,2020-02-16,DHL,Shipping,N/A,NULL,N/A
261,2020-02-16,Salesforce,Software,800.00,800.00,Completed
262,2020-02-16,QuickBooks,Software,157,157.00,Completed
263,2020-02-16,QuickBooks,Software,103.08,103.08,Completed
264,2020-02-16,Microsoft,Software,Declined,NULL,Declined
265,2020-02-16,HubSpot,Marketing,508.5,508.50,Completed
266,2020-02-17,Marriott,Travel,476.97,476.97,Completed
267,2020-02-17,AWS,Software,3155,3155.00,Completed
268,2020-02-17,Uber,Travel,216.4,216.40,Completed
269,2020-02-17,Mailchimp,Marketing,Waived,NULL,Waived
270,2020-02-17,FedEx,Shipping,181,181.00,Completed
271,2020-02-17,Uber,Travel,137.50,137.50,Completed
272,2020-02-17,Expensify,Software,50.00,50.00,Completed
273,2020-02-18,Salesforce,Software,800.00,800.00,Completed
274,2020-02-18,WeWork,Rent,3200.00,3200.00,Completed
275,2020-02-18,Mailchimp,Marketing,299.00,299.00,Completed
276,2020-02-19,Zoom,Software,149.00,149.00,Completed
277,2020-02-19,Slack,Software,"No Charge",NULL,"No Charge"
278,2020-02-19,FedEx,Shipping,245,245.00,Completed
279,2020-02-19,Amazon,"Office Supplies",Waived,NULL,Waived
280,2020-02-19,"LinkedIn Ads",Marketing,1289.1,1289.10,Completed
281,2020-02-20,"Office Depot","Office Supplies",200.2,200.20,Completed
282,2020-02-20,Dropbox,Software,17,17.00,Completed
283,2020-02-20,Expensify,Software,Refunded,NULL,Refunded
284,2020-02-20,Staples,"Office Supplies",Waived,NULL,Waived
285,2020-02-20,Expensify,Software,N/A,NULL,N/A
286,2020-02-20,Zoom,Software,149,149.00,Completed
287,2020-02-21,Asana,Software,67.1,67.10,Completed
288,2020-02-21,Slack,Software,Waived,NULL,Waived
289,2020-02-21,QuickBooks,Software,164.10,164.10,Completed
290,2020-02-21,"LinkedIn Ads",Marketing,1177,1177.00,Completed
291,2020-02-21,Expensify,Software,50,50.00,Completed
292,2020-02-21,"LinkedIn Ads",Marketing,968.79,968.79,Completed
293,2020-02-22,AWS,Software,522.24,522.24,Completed
294,2020-02-22,"LinkedIn Ads",Marketing,644.85,644.85,Completed
295,2020-02-22,HubSpot,Marketing,447,447.00,Completed
296,2020-02-22,DHL,Shipping,52.5,52.50,Completed
297,2020-02-22,Marriott,Travel,173,173.00,Completed
298,2020-02-22,FedEx,Shipping,66.94,66.94,Completed
299,2020-02-22,DHL,Shipping,133,133.00,Completed
300,2020-02-22,HubSpot,Marketing,694.05,694.05,Completed
301,2020-02-23,HubSpot,Marketing,1179.64,1179.64,Completed
302,2020-02-23,Asana,Software,95,95.00,Completed
303,2020-02-23,Amazon,"Office Supplies",442,442.00,Completed
304,2020-02-23,Salesforce,Software,800.00,800.00,Completed
305,2020-02-23,Notion,Software,Waived,NULL,Waived
306,2020-02-23,QuickBooks,Software,N/A,NULL,N/A
307,2020-02-24,Staples,"Office Supplies",196,196.00,Completed
308,2020-02-24,Microsoft,Software,402.56,402.56,Completed
309,2020-02-24,Uber,Travel,72.01,72.01,Completed
310,2020-02-24,DHL,Shipping,43.4,43.40,Completed
311,2020-02-25,Asana,Software,60.94,60.94,Completed
312,2020-02-25,FedEx,Shipping,151.8,151.80,Completed
313,2020-02-25,Dropbox,Software,Refunded,NULL,Refunded
314,2020-02-25,Asana,Software,33.83,33.83,Completed
315,2020-02-25,"Office Depot","Office Supplies",94,94.00,Completed
316,2020-02-25,Slack,Software,87.00,87.00,Completed
317,2020-02-26,Staples,"Office Supplies",236,236.00,Completed
318,2020-02-26,WeWork,Rent,3200.0,3200.00,Completed
319,2020-02-26,Amazon,"Office Supplies",Pending,NULL,Pending
320,2020-02-26,Notion,Software,16.0,16.00,Completed
321,2020-02-27,Slack,Software,87.00,87.00,Completed
322,2020-02-27,Asana,Software,62,62.00,Completed
323,2020-02-27,WeWork,Rent,Refunded,NULL,Refunded
324,2020-02-27,Notion,Software,TBD,NULL,TBD
325,2020-02-27,Microsoft,Software,411.03,411.03,Completed
326,2020-02-28,Dropbox,Software,21.33,21.33,Completed
327,2020-02-28,"Office Depot","Office Supplies",194.21,194.21,Completed
328,2020-02-28,Mailchimp,Marketing,299.00,299.00,Completed
329,2020-02-29,Zoom,Software,149.00,149.00,Completed
330,2020-02-29,"Office Depot","Office Supplies",325.1,325.10,Completed
331,2020-02-29,DHL,Shipping,232,232.00,Completed
332,2020-02-29,QuickBooks,Software,91.1,91.10,Completed
333,2020-02-29,Expensify,Software,50.00,50.00,Completed
334,2020-02-29,FedEx,Shipping,171.9,171.90,Completed
335,2020-02-29,Uber,Travel,45.36,45.36,Completed
336,2020-03-01,WeWork,Rent,3200.0,3200.00,Completed
337,2020-03-01,Notion,Software,16.00,16.00,Completed
338,2020-03-01,Expensify,Software,50.00,50.00,Completed
339,2020-03-01,Salesforce,Software,800.00,800.00,Completed
340,2020-03-01,Expensify,Software,50,50.00,Completed
341,2020-03-01,"American Airlines",Travel,436.12,436.12,Completed
342,2020-03-01,Mailchimp,Marketing,299.00,299.00,Completed
343,2020-03-01,FedEx,Shipping,136.9,136.90,Completed
344,2020-03-02,DHL,Shipping,159,159.00,Completed
345,2020-03-02,WeWork,Rent,3200.0,3200.00,Completed
346,2020-03-02,Microsoft,Software,238.20,238.20,Completed
347,2020-03-02,Salesforce,Software,800,800.00,Completed
348,2020-03-02,Microsoft,Software,488.7,488.70,Completed
349,2020-03-03,Asana,Software,N/A,NULL,N/A
350,2020-03-03,Staples,"Office Supplies",275.22,275.22,Completed
351,2020-03-03,DHL,Shipping,183.14,183.14,Completed
352,2020-03-03,QuickBooks,Software,137.16,137.16,Completed
353,2020-03-04,Microsoft,Software,213.1,213.10,Completed
354,2020-03-04,"Delta Airlines",Travel,798.39,798.39,Completed
355,2020-03-04,Microsoft,Software,TBD,NULL,TBD
356,2020-03-04,HubSpot,Marketing,1068.10,1068.10,Completed
357,2020-03-04,DHL,Shipping,100.77,100.77,Completed
358,2020-03-05,Staples,"Office Supplies",103.99,103.99,Completed
359,2020-03-05,Marriott,Travel,346.95,346.95,Completed
360,2020-03-05,Expensify,Software,50.0,50.00,Completed
361,2020-03-05,Mailchimp,Marketing,299.0,299.00,Completed
362,2020-03-05,"Delta Airlines",Travel,1109.2,1109.20,Completed
363,2020-03-05,Expensify,Software,50.0,50.00,Completed
364,2020-03-05,"Google Ads",Marketing,3005.61,3005.61,Completed
365,2020-03-06,Uber,Travel,203.12,203.12,Completed
366,2020-03-06,"American Airlines",Travel,2568,2568.00,Completed
367,2020-03-06,WeWork,Rent,3200.00,3200.00,Completed
368,2020-03-06,"LinkedIn Ads",Marketing,637.6,637.60,Completed
369,2020-03-06,FedEx,Shipping,281.9,281.90,Completed
370,2020-03-07,FedEx,Shipping,101,101.00,Completed
371,2020-03-07,Mailchimp,Marketing,299,299.00,Completed
372,2020-03-07,Zoom,Software,149.0,149.00,Completed
373,2020-03-07,"American Airlines",Travel,2527.1,2527.10,Completed
374,2020-03-07,Expensify,Software,50.00,50.00,Completed
375,2020-03-07,Stripe,Software,59.0,59.00,Completed
376,2020-03-07,Slack,Software,87.00,87.00,Completed
377,2020-03-08,Mailchimp,Marketing,299.0,299.00,Completed
378,2020-03-08,WeWork,Rent,3200.00,3200.00,Completed
379,2020-03-08,QuickBooks,Software,117.00,117.00,Completed
380,2020-03-09,"LinkedIn Ads",Marketing,502.4,502.40,Completed
381,2020-03-09,"Google Ads",Marketing,Pending,NULL,Pending
382,2020-03-09,WeWork,Rent,3200.00,3200.00,Completed
383,2020-03-09,Staples,"Office Supplies",Refunded,NULL,Refunded
384,2020-03-09,FedEx,Shipping,TBD,NULL,TBD
385,2020-03-10,FedEx,Shipping,102.69,102.69,Completed
386,2020-03-10,"Office Depot","Office Supplies",303.49,303.49,Completed
387,2020-03-10,Uber,Travel,125.12,125.12,Completed
388,2020-03-11,Expensify,Software,50.00,50.00,Completed
389,2020-03-11,Zoom,Software,149.0,149.00,Completed
390,2020-03-11,Uber,Travel,Declined,NULL,Declined
391,2020-03-11,Uber,Travel,115.2,115.20,Completed
392,2020-03-11,HubSpot,Marketing,Waived,NULL,Waived
393,2020-03-11,"Delta Airlines",Travel,929.44,929.44,Completed
394,2020-03-11,QuickBooks,Software,93,93.00,Completed
395,2020-03-11,"LinkedIn Ads",Marketing,1834.2,1834.20,Completed
396,2020-03-12,"Google Ads",Marketing,2139,2139.00,Completed
397,2020-03-12,WeWork,Rent,N/A,NULL,N/A
398,2020-03-12,"Google Ads",Marketing,2272.78,2272.78,Completed
399,2020-03-12,Salesforce,Software,800.0,800.00,Completed
400,2020-03-12,"Google Ads",Marketing,2662.36,2662.36,Completed
401,2020-03-13,FedEx,Shipping,199.86,199.86,Completed
402,2020-03-13,WeWork,Rent,3200.00,3200.00,Completed
403,2020-03-13,Amazon,"Office Supplies",371.3,371.30,Completed
404,2020-03-13,Uber,Travel,64,64.00,Completed
405,2020-03-13,FedEx,Shipping,139.54,139.54,Completed
406,2020-03-13,DHL,Shipping,126.2,126.20,Completed
407,2020-03-13,"Office Depot","Office Supplies",66,66.00,Completed
408,2020-03-13,Staples,"Office Supplies",160.03,160.03,Completed
409,2020-03-14,Marriott,Travel,233.72,233.72,Completed
410,2020-03-14,Stripe,Software,59.00,59.00,Completed
411,2020-03-14,Asana,Software,50.0,50.00,Completed
412,2020-03-15,Slack,Software,Declined,NULL,Declined
413,2020-03-15,"American Airlines",Travel,Waived,NULL,Waived
414,2020-03-15,Salesforce,Software,800,800.00,Completed
415,2020-03-15,Microsoft,Software,447.98,447.98,Completed
416,2020-03-16,Dropbox,Software,17.24,17.24,Completed
417,2020-03-16,Mailchimp,Marketing,N/A,NULL,N/A
418,2020-03-16,Notion,Software,16.00,16.00,Completed
419,2020-03-16,Asana,Software,Refunded,NULL,Refunded
420,2020-03-16,"American Airlines",Travel,2212.8,2212.80,Completed
421,2020-03-17,WeWork,Rent,3200.00,3200.00,Completed
422,2020-03-17,Expensify,Software,50.00,50.00,Completed
423,2020-03-17,"Office Depot","Office Supplies",289.11,289.11,Completed
424,2020-03-17,"LinkedIn Ads",Marketing,1254.30,1254.30,Completed
425,2020-03-17,Dropbox,Software,16,16.00,Completed
426,2020-03-17,"American Airlines",Travel,831,831.00,Completed
427,2020-03-17,WeWork,Rent,3200,3200.00,Completed
428,2020-03-18,QuickBooks,Software,89.37,89.37,Completed
429,2020-03-18,Notion,Software,16,16.00,Completed
430,2020-03-18,Notion,Software,16.00,16.00,Completed
431,2020-03-18,Uber,Travel,286,286.00,Completed
432,2020-03-19,"Delta Airlines",Travel,1987.31,1987.31,Completed
433,2020-03-19,AWS,Software,4467,4467.00,Completed
434,2020-03-19,AWS,Software,1375.4,1375.40,Completed
435,2020-03-19,Microsoft,Software,308.74,308.74,Completed
436,2020-03-19,Expensify,Software,50,50.00,Completed
437,2020-03-19,Asana,Software,40,40.00,Completed
438,2020-03-19,Marriott,Travel,594.6,594.60,Completed
439,2020-03-19,Zoom,Software,149.00,149.00,Completed
440,2020-03-20,Mailchimp,Marketing,299.00,299.00,Completed
441,2020-03-20,Zoom,Software,149.0,149.00,Completed
442,2020-03-20,Asana,Software,59.27,59.27,Completed
443,2020-03-20,Salesforce,Software,800.00,800.00,Completed
444,2020-03-20,"Office Depot","Office Supplies",104.9,104.90,Completed
445,2020-03-21,Microsoft,Software,Refunded,NULL,Refunded
446,2020-03-21,Dropbox,Software,19,19.00,Completed
447,2020-03-21,Uber,Travel,43.6,43.60,Completed
448,2020-03-21,Microsoft,Software,337.8,337.80,Completed
449,2020-03-21,Zoom,Software,149.0,149.00,Completed
450,2020-03-21,FedEx,Shipping,N/A,NULL,N/A
451,2020-03-22,FedEx,Shipping,N/A,NULL,N/A
452,2020-03-22,Expensify,Software,50.00,50.00,Completed
453,2020-03-22,Zoom,Software,149,149.00,Completed
